LOG_NO,by_year_complaint_date,CURRENT_STATUS,FINAL_CATEGORY
9,01/01/2023 12:00:00 AM,Administratively Closed,Domestic Incidents Domestic Incident - Physical Abuse Non-Serious Bodily Injury Not Involving a Minor
1,01/01/2020 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Reports Fail to Submit
1,01/01/2021 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Traffic Pursuit No Injury
2,01/01/2019 12:00:00 AM,Case Final,Bribery/Official Corruption Use of Official Position
1,01/01/2022 12:00:00 AM,Case Final,Crime Misconduct Judicial Process False Testimony
2,01/01/2022 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Parking Complaints
674,01/01/2021 12:00:00 AM,Case Final,Operation/Personnel Violations Inadequate/Failure to Provide Service
1,01/01/2021 12:00:00 AM,Administrative Closure Review,Conduct Unbecoming Violations Abuse of Authority
5,01/01/2022 12:00:00 AM,Case Final,Alcohol/Drug Abuse Random Drug/Return to Duty 6 mos. follow-up .021 or greater
206,01/01/2019 12:00:00 AM,Case Final,Operation/Personnel Violations Conduct Unbecoming
30,01/01/2023 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Reports Fail to Submit
4,01/01/2022 12:00:00 AM,Administratively Closed,Conduct Unbecoming Violations Altercation/Disturbance Traffic
1,01/01/2021 12:00:00 AM,Administrative Closure Review,Crime Misconduct Theft
1,01/01/2022 12:00:00 AM,Case Final,Crime Misconduct Police Impersonator - (Advocate Section use only)
2,01/01/2022 12:00:00 AM,Advocate Review,Operation/Personnel Violations Weapon Lost/Stolen Weapon
1,01/01/2021 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Misuse of Department Records
49,01/01/2019 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Parking Complaints
1,01/01/2020 12:00:00 AM,Case Final,Crime Misconduct Burglary
3,01/01/2023 12:00:00 AM,Administratively Closed,Conduct Unbecoming Violations Altercation/Disturbance Traffic
2,01/01/2022 12:00:00 AM,Command Channel Review,Arrest/Lockup Incidents Escape
5,01/01/2023 12:00:00 AM,Under District Investigation,Civil Rights Violation Improper Search Vehicle Excessive Damage
62,01/01/2023 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Misuse of Department Equipment/Supplies
1,01/01/2019 12:00:00 AM,Case Final,Supervisory Responsibilities Properly Monitor/Inspect Subordinate
390,01/01/2020 12:00:00 AM,Case Final,Operation/Personnel Violations Neglect of Duty
4,01/01/2019 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations
2,01/01/2023 12:00:00 AM,Advocate Review,Conduct Unbecoming Violations Traffic Violations (Other than D.U.I)
11,01/01/2022 12:00:00 AM,Case Final,Supervisory Responsibilities Fail to Obtain a Complaint Register Number
3,01/01/2021 12:00:00 AM,Case Final,Conduct Unbecoming Violations Weapon Irregularity Lost/Stolen Weapon
4,01/01/2020 12:00:00 AM,Advocate Review,Excessive Force No Weapon No Injury
3,01/01/2023 12:00:00 AM,Case Final,Operation/Personnel Violations Absent without Permission
1,01/01/2022 12:00:00 AM,Case Closure Processing,Operation/Personnel Violations Conduct Unbecoming
5,01/01/2019 12:00:00 AM,Case Final,Conduct Unbecoming Violations Indebtedness to City
12,01/01/2020 12:00:00 AM,Administratively Closed,Weapon Discharge Taser No Injury With No Hits
1,01/01/2022 12:00:00 AM,Command Channel Review,Conduct Unbecoming Violations Abuse of Authority
17,01/01/2022 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Misuse of Department Records
13,01/01/2022 12:00:00 AM,Under District Investigation,Verbal Abuse Profanity
1,01/01/2023 12:00:00 AM,Advocate Review,Supervisory Responsibilities Initiate Proper Action
19,01/01/2022 12:00:00 AM,Case Final,"Arrest/Lockup Incidents Arrest, Improper, Procedures *Fail to follow G.O.'s"
8,01/01/2023 12:00:00 AM,Administratively Closed,Traffic (Not Bribery/Excessive Force) Parking Complaints
3,01/01/2023 12:00:00 AM,Advocate Review,Crime Misconduct Other Misdemeanor Arrest
4,01/01/2021 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Reports Improper
1,01/01/2021 12:00:00 AM,Under District Investigation,Civil Rights Violation Denial Access to Counsel
24,01/01/2019 12:00:00 AM,Case Final,Operation/Personnel Violations Reports Fail to Submit
10,01/01/2020 12:00:00 AM,Case Final,Operation/Personnel Violations EEO Investigations Hostile Work Environment
18,01/01/2019 12:00:00 AM,Case Final,Search Warrants Damage Property
1,01/01/2022 12:00:00 AM,Administratively Closed,Bribery/Official Corruption Use of Official Position
18,01/01/2019 12:00:00 AM,Case Final,Arrest/Lockup Incidents Prisoner's Property Money Failed to Inventory
2,01/01/2020 12:00:00 AM,Administrative Closure Review,Operation/Personnel Violations Inadequate/Failure to Provide Service
2,01/01/2022 12:00:00 AM,Under District Investigation,Operation/Personnel Violations Reports FALSE
43,01/01/2021 12:00:00 AM,Administratively Closed,Traffic (Not Bribery/Excessive Force) Preventable Traffic Accident
8,01/01/2022 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Reports FALSE
3,01/01/2022 12:00:00 AM,Case Final,Civil Rights Violation Improper Arrest
1,01/01/2023 12:00:00 AM,Under BIA Investigation,Coercion Threat of Arrest/Charges
26,01/01/2020 12:00:00 AM,Case Final,Operation/Personnel Violations Inventory Procedures - Non-Arrestee
2,01/01/2023 12:00:00 AM,Advocate Review,Operation/Personnel Violations Traffic Pursuit
10,01/01/2023 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Misuse of Department Records
22,01/01/2022 12:00:00 AM,Administratively Closed,
2,01/01/2021 12:00:00 AM,Under District Investigation,Operation/Personnel Violations Reports Improper
14,01/01/2022 12:00:00 AM,Case Final,Operation/Personnel Violations Inventory Procedures - Non-Arrestee
3,01/01/2021 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Traffic Pursuit Serious Bodily Injury
1,01/01/2021 12:00:00 AM,Investigator Assignment,Medical Integrity False Reporting of IOD
1,01/01/2022 12:00:00 AM,Under BIA Investigation,Supervisory Responsibilities Properly Direct Subordinate
3,01/01/2022 12:00:00 AM,Advocate Review,Arrest/Lockup Incidents Prisoner's Property Property
3,01/01/2020 12:00:00 AM,Case Final,Medical Integrity Medical Role Violation Failure to Receive Approval for Travel
4,01/01/2021 12:00:00 AM,Case Final,Operation/Personnel Violations Workplace Violence
33,01/01/2022 12:00:00 AM,Case Final,Operation/Personnel Violations Failure to Identify
1,01/01/2022 12:00:00 AM,Administratively Closed,Sexual Misconduct Sexual Abuse Not Minor
6,01/01/2021 12:00:00 AM,Case Final,Conduct Unbecoming Violations Residency
10,01/01/2020 12:00:00 AM,Case Final,Verbal Abuse
1,01/01/2021 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Absent without Permission
3,01/01/2021 12:00:00 AM,Administratively Closed,Excessive Force Unnecessary Physical Contact No Injury
3,01/01/2021 12:00:00 AM,Case Final,Operation/Personnel Violations Employment Action - Shakman Decree
1,01/01/2019 12:00:00 AM,OLA Review,Drugs/Substance Abuse Positive Drug Screen
74,01/01/2019 12:00:00 AM,Administratively Closed,Operation/Personnel Violations
1,01/01/2022 12:00:00 AM,Administratively Closed,Excessive Force Weapon Non-Serious Bodily Injury
1,01/01/2019 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations EEO Investigations Hostile Work Environment
1,01/01/2022 12:00:00 AM,Administratively Closed,Crime Misconduct Sexual Misconduct Criminal Allegation Non-Aggravated
3,01/01/2022 12:00:00 AM,Case Final,Medical Integrity Medical Role Violation Misrepresentation of Injury
4,01/01/2021 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Traffic Pursuit No Injury
1,01/01/2023 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations EEO Investigations Racial
2,01/01/2023 12:00:00 AM,Advocate Review,Conduct Unbecoming Violations Altercation/Disturbance Other
1,01/01/2020 12:00:00 AM,Administratively Closed,Supervisory Responsibilities Properly Monitor/Inspect Subordinate
33,01/01/2021 12:00:00 AM,Case Final,Arrest/Lockup Incidents Prisoner's Property Property Failed to Inventory
25,01/01/2021 12:00:00 AM,Case Final,Operation/Personnel Violations Reports Improper
1,01/01/2020 12:00:00 AM,Case Final,Medical Integrity Medical Role Violation Timely Notification to Unit
4,01/01/2020 12:00:00 AM,Administratively Closed,Conduct Unbecoming Violations Altercation/Disturbance Other
2,01/01/2023 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Inventory Procedures - Non-Arrestee
1,01/01/2019 12:00:00 AM,Case Final,Operation/Personnel Violations Political Activity
2,01/01/2021 12:00:00 AM,Command Channel Review,Conduct Unbecoming Violations Altercation/Disturbance
1,01/01/2023 12:00:00 AM,Under BIA Investigation,Drugs/Substance Abuse Positive Drug Screen Specimen
12,01/01/2019 12:00:00 AM,Case Final,Conduct Unbecoming Violations Altercation/Disturbance
5,01/01/2023 12:00:00 AM,Advocate Review,Operation/Personnel Violations Misuse of Department Equipment/Supplies
9,01/01/2021 12:00:00 AM,Administratively Closed,Operation/Personnel Violations EEO Investigations Hostile Work Environment
1,01/01/2022 12:00:00 AM,Under District Investigation,Excessive Force Unnecessary Exhibition of Weapon Pointing
2,01/01/2023 12:00:00 AM,Case Final,Civil Rights Violation Improper Stop/Seizure Person Custodial Search
4,01/01/2019 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Compensatory Time
1,01/01/2023 12:00:00 AM,Under District Investigation,Operation/Personnel Violations Misuse of Department Records
1,01/01/2022 12:00:00 AM,Advocate Review,Traffic (Not Bribery/Excessive Force) Misconduct During Issuance of Citation
2,01/01/2023 12:00:00 AM,Under BIA Investigation,Domestic Incidents Domestic Incident - No Physical Abuse Harassment Electronic
18,01/01/2021 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Neglect of Duty
24,01/01/2023 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Reports Improper
3,01/01/2022 12:00:00 AM,Administratively Closed,Crime Misconduct Sexual Misconduct Sexual Assault Non-Aggravated
1,01/01/2022 12:00:00 AM,Administratively Closed,Alcohol/Drug Abuse Possession/Drinking Alcohol/Drug Use
8,01/01/2022 12:00:00 AM,Case Final,Arrest/Lockup Incidents Prisoner's Property Money Failed to Inventory
16,01/01/2023 12:00:00 AM,Case Final,Verbal Abuse Profanity
1,01/01/2019 12:00:00 AM,Advocate Review,Conduct Unbecoming Violations Abuse of Authority
10,01/01/2021 12:00:00 AM,Case Final,Crime Misconduct Other Misdemeanor Arrest
1,01/01/2022 12:00:00 AM,Command Channel Review,Traffic (Not Bribery/Excessive Force) Parking Complaints
1,01/01/2023 12:00:00 AM,Administratively Closed,Civil Rights Violation Improper Stop/Seizure Person Custodial Search
1,01/01/2019 12:00:00 AM,Administratively Closed,Verbal Abuse Profanity
2,01/01/2023 12:00:00 AM,Under BIA Investigation,Alcohol/Drug Abuse D.U.I Accidental Property Damage
3,01/01/2023 12:00:00 AM,Case Final,Operation/Personnel Violations Weapon Other
1,01/01/2023 12:00:00 AM,Under BIA Investigation,Notifications COPA Response
2,01/01/2019 12:00:00 AM,Case Final,Crime Misconduct Police Impersonator - (Advocate Section use only)
4,01/01/2022 12:00:00 AM,Case Final,Civil Rights Violation Profiling
2,01/01/2022 12:00:00 AM,Under BIA Investigation,Medical Integrity Altering Medical Documents
3,01/01/2022 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations EEO Investigations Disability
1,01/01/2020 12:00:00 AM,Administrative Closure Review,Crime Misconduct Theft
3,01/01/2020 12:00:00 AM,Case Final,Arrest/Lockup Incidents Prisoner's Property Property
1,01/01/2020 12:00:00 AM,Case Final,Civil Rights Violation First Amendment Speech Related
1,01/01/2019 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Failure to Identify
4,01/01/2023 12:00:00 AM,Under BIA Investigation,Supervisory Responsibilities Properly Direct Subordinate
13,01/01/2022 12:00:00 AM,Administratively Closed,Civil Rights Violation Improper Stop/Seizure Vehicle
30,01/01/2023 12:00:00 AM,Under District Investigation,Operation/Personnel Violations Reports Fail to Submit
148,01/01/2019 12:00:00 AM,Administratively Closed,
23,01/01/2020 12:00:00 AM,Case Final,Operation/Personnel Violations Reports Improper
1,01/01/2022 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Traffic Pursuit Serious Bodily Injury
1,01/01/2023 12:00:00 AM,Advocate Review,Domestic Incidents Domestic Incident - Physical Abuse No Injury Not Involving a Minor
3,01/01/2023 12:00:00 AM,Advocate Review,Conduct Unbecoming Violations Abuse of Authority
1,01/01/2023 12:00:00 AM,Under BIA Investigation,Alcohol/Drug Abuse Intoxicated
1,01/01/2021 12:00:00 AM,Administratively Closed,Domestic Incidents Domestic Incident - No Physical Abuse Threats Not Involving a Minor
2,01/01/2021 12:00:00 AM,Case Final,Operation/Personnel Violations Traffic Pursuit No Injury
2,01/01/2021 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Employment Action - Shakman Decree
1,01/01/2022 12:00:00 AM,Under BIA Investigation,Bribery/Official Corruption Recommend Professional Service
3,01/01/2020 12:00:00 AM,Case Final,Medical Integrity Medical Role Violation Not at Home
1,01/01/2022 12:00:00 AM,Investigator Assignment,"Crime Misconduct Assault/Battery, etc."
12,01/01/2020 12:00:00 AM,Case Final,Operation/Personnel Violations Reports Fail to Submit
2,01/01/2022 12:00:00 AM,Administratively Closed,Domestic Incidents Domestic Incident - Physical Abuse No Injury Not Involving a Minor
470,01/01/2020 12:00:00 AM,Case Final,Operation/Personnel Violations Conduct Unbecoming
7,01/01/2019 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Conduct Unbecoming
1,01/01/2022 12:00:00 AM,Case Final,Conduct Unbecoming Violations Vehicle Licensing City
1,01/01/2022 12:00:00 AM,Under BIA Investigation,Alcohol/Drug Abuse D.U.I Accidental Injury
1,01/01/2022 12:00:00 AM,Case Final,Civil Rights Violation Improper Stop/Seizure Premise
1,01/01/2019 12:00:00 AM,Case Final,Crime Misconduct Sexual Misconduct Criminal Allegation Aggravated
1,01/01/2020 12:00:00 AM,OLA Review,Alcohol/Drug Abuse Random Drug/Return to Duty 6 mos. follow-up .021 or greater
4,01/01/2021 12:00:00 AM,Administratively Closed,Conduct Unbecoming Violations Altercation/Disturbance Neighbor
33,01/01/2019 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Neglect of Duty
2,01/01/2022 12:00:00 AM,Under District Investigation,Conduct Unbecoming Violations Harassment
3,01/01/2020 12:00:00 AM,Administratively Closed,Crime Misconduct Theft
89,01/01/2020 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Neglect of Duty
36,01/01/2020 12:00:00 AM,Case Final,Verbal Abuse Profanity
8,01/01/2019 12:00:00 AM,Case Final,Operation/Personnel Violations EEO Investigations Hostile Work Environment
8,01/01/2022 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Traffic Pursuit No Injury
2,01/01/2020 12:00:00 AM,Administratively Closed,Verbal Abuse Profanity
2,01/01/2022 12:00:00 AM,Under District Investigation,Excessive Force No Weapon No Injury
3,01/01/2023 12:00:00 AM,Administratively Closed,Arrest/Lockup Incidents Prisoner's Property Property Failed to Inventory
2,01/01/2020 12:00:00 AM,Case Final,Crime Misconduct Robbery
3,01/01/2020 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Reports Improper
6,01/01/2022 12:00:00 AM,Command Channel Review,Conduct Unbecoming Violations Harassment
1,01/01/2019 12:00:00 AM,Administratively Closed,Civil Rights Violation Improper Search Wrong Address
6,01/01/2023 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Traffic Pursuit Serious Bodily Injury
1,01/01/2021 12:00:00 AM,Administratively Closed,Medical Integrity False Reporting of IOD
1,01/01/2023 12:00:00 AM,Suspended,Medical Integrity Medical Role Violation Failure to Receive Approval for Travel
4,01/01/2021 12:00:00 AM,Administratively Closed,Arrest/Lockup Incidents Prisoner's Property Money Failed to Inventory
9,01/01/2020 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Conduct Unbecoming
1,01/01/2022 12:00:00 AM,Administrative Closure Review,Conduct Unbecoming Violations Harassment Allegations of Bias
1,01/01/2022 12:00:00 AM,Administratively Closed,Traffic (Not Bribery/Excessive Force) Misconduct During Issuance of Citation
1,01/01/2022 12:00:00 AM,Case Final,Weapon Discharge Firearm No Injury With No Hits
156,01/01/2023 12:00:00 AM,Under District Investigation,Operation/Personnel Violations Conduct Unbecoming
144,01/01/2023 12:00:00 AM,Case Final,Operation/Personnel Violations Neglect of Duty
4,01/01/2021 12:00:00 AM,Case Final,"Operation/Personnel Violations Leaving Assignment (District, Beat, Sector, Court)"
7,01/01/2023 12:00:00 AM,Case Final,Supervisory Responsibilities Fail to Obtain a Complaint Register Number
1,01/01/2021 12:00:00 AM,Case Final,Operation/Personnel Violations Lunch/Personal Violations
3,01/01/2019 12:00:00 AM,Case Final,Operation/Personnel Violations Secondary / Special Employment
3,01/01/2023 12:00:00 AM,Closed/No Finding,Operation/Personnel Violations Conduct Unbecoming
1,01/01/2021 12:00:00 AM,Administratively Closed,Sexual Misconduct Sexual Assault Minor
26,01/01/2021 12:00:00 AM,Case Final,Operation/Personnel Violations Failure to Identify
2,01/01/2019 12:00:00 AM,Advocate Review,Operation/Personnel Violations Misuse of Department Equipment/Supplies
1,01/01/2021 12:00:00 AM,Command Channel Review,Weapon Discharge Taser Non-Serious Bodily Injury With Hits
8,01/01/2021 12:00:00 AM,Administratively Closed,Arrest/Lockup Incidents Prisoner's Property Property Failed to Inventory
23,01/01/2020 12:00:00 AM,Case Final,Operation/Personnel Violations Reports FALSE
4,01/01/2023 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Weapon Lost/Stolen Weapon
10,01/01/2019 12:00:00 AM,Case Final,Search Warrants
3,01/01/2022 12:00:00 AM,Administratively Closed,Bribery/Official Corruption False Testimony
2,01/01/2019 12:00:00 AM,Advocate Review,Conduct Unbecoming Violations Altercation/Disturbance
17,01/01/2020 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Improper Processing/Reporting/Procedures Traffic Crash Report
43,01/01/2022 12:00:00 AM,Case Final,Verbal Abuse Profanity
1,01/01/2023 12:00:00 AM,Advocate Review,Crime Misconduct Damage/Trespassing to Property
4,01/01/2019 12:00:00 AM,Administratively Closed,Traffic (Not Bribery/Excessive Force) Parking Complaints
1,01/01/2019 12:00:00 AM,Case Final,Supervisory Responsibilities Conduct an Improper/Inadequate Investigation
1,01/01/2020 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations EEO Investigations Racial
1,01/01/2021 12:00:00 AM,Under District Investigation,Conduct Unbecoming Violations Abuse of Authority
6,01/01/2021 12:00:00 AM,Administratively Closed,Conduct Unbecoming Violations Altercation/Disturbance Other
3,01/01/2022 12:00:00 AM,Under District Investigation,Crime Misconduct Damage/Trespassing to Property
5,01/01/2019 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Fail to Enforce Traffic Regulations
2,01/01/2019 12:00:00 AM,OLA Review,Alcohol/Drug Abuse Intoxicated
6,01/01/2019 12:00:00 AM,Case Final,Arrest/Lockup Incidents Prisoner's Property Property
1,01/01/2020 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations EEO Investigations Gender
1,01/01/2020 12:00:00 AM,Administratively Closed,Weapon Discharge OC Discharge Non-Serious Bodily Injury With Hits
1,01/01/2022 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Weapon Lost/Stolen Weapon
75,01/01/2022 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Neglect of Duty
353,01/01/2022 12:00:00 AM,Case Final,Operation/Personnel Violations Conduct Unbecoming
1,01/01/2021 12:00:00 AM,Command Channel Review,Crime Misconduct Other Misdemeanor Arrest
8,01/01/2022 12:00:00 AM,Case Final,Civil Rights Violation Improper Stop/Seizure Vehicle
3,01/01/2020 12:00:00 AM,Case Final,Alcohol/Drug Abuse D.U.I Accidental No Injury
1,01/01/2020 12:00:00 AM,Case Final,Medical Integrity Violation of Medical Restriction
4,01/01/2021 12:00:00 AM,Administratively Closed,Supervisory Responsibilities Properly Direct Subordinate
5,01/01/2023 12:00:00 AM,Administratively Closed,Arrest/Lockup Incidents Escape
97,01/01/2021 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Conduct Unbecoming
1,01/01/2019 12:00:00 AM,Case Final,Alcohol/Drug Abuse D.U.I Accidental Property Damage
1,01/01/2021 12:00:00 AM,Case Final,Civil Rights Violation Improper Stop/Seizure Person Custodial Search
1,01/01/2020 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Misuse of Department Equipment/Supplies
1,01/01/2020 12:00:00 AM,Case Final,Operation/Personnel Violations EEO Investigations Sexual Orientation
1,01/01/2023 12:00:00 AM,Administratively Closed,Domestic Incidents Domestic Incident - No Physical Abuse Intimidation Involving a Minor
1,01/01/2022 12:00:00 AM,Administratively Closed,Civil Rights Violation Improper Stop/Seizure Person Custodial Search
9,01/01/2022 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Failure to Identify
1,01/01/2021 12:00:00 AM,Administrative Closure Review,Civil Rights Violation Improper Stop/Seizure Vehicle
2,01/01/2020 12:00:00 AM,Administratively Closed,Crime Misconduct Sexual Misconduct Criminal Allegation Aggravated
1,01/01/2021 12:00:00 AM,Case Final,Crime Misconduct De-Certification
9,01/01/2020 12:00:00 AM,Case Final,Supervisory Responsibilities Fail to Obtain a Complaint Register Number
7,01/01/2023 12:00:00 AM,Under District Investigation,Civil Rights Violation Profiling
1,01/01/2021 12:00:00 AM,Administratively Closed,Crime Misconduct Sexual Misconduct Sexual Abuse Non-Aggravated
1,01/01/2022 12:00:00 AM,Under BIA Investigation,Civil Rights Violation Improper Stop/Seizure Vehicle
1,01/01/2023 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Secondary / Special Employment
1,01/01/2022 12:00:00 AM,Under BIA Investigation,Crime Misconduct Judicial Process Perjury
1,01/01/2020 12:00:00 AM,Administratively Closed,Arrest/Lockup Incidents Excessive Detention - After Arrest
1,01/01/2023 12:00:00 AM,Under BIA Investigation,Bribery/Official Corruption Gang Affiliation
1,01/01/2021 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Compensatory Time
7,01/01/2020 12:00:00 AM,Case Final,Search Warrants Missing Property and Money
2,01/01/2021 12:00:00 AM,Advocate Review,Operation/Personnel Violations Weapon Lost/Stolen Weapon
2,01/01/2023 12:00:00 AM,Case Final,Civil Rights Violation Improper Search Person Custodial Search
7,01/01/2023 12:00:00 AM,Advocate Review,Operation/Personnel Violations Reports Fail to Submit
2,01/01/2021 12:00:00 AM,OLA Review,Operation/Personnel Violations Neglect of Duty
1,01/01/2020 12:00:00 AM,Case Final,Medical Integrity Medical Role Violation Unauthorized Location
2,01/01/2021 12:00:00 AM,Case Final,Civil Rights Violation Improper Search Vehicle No Damage
15,01/01/2019 12:00:00 AM,Administratively Closed,Conduct Unbecoming Violations
1,01/01/2021 12:00:00 AM,Command Channel Review,Conduct Unbecoming Violations Altercation/Disturbance Neighbor
6,01/01/2022 12:00:00 AM,Administratively Closed,Weapon Discharge Taser No Injury With No Hits
1,01/01/2023 12:00:00 AM,Administratively Closed,Alcohol/Drug Abuse Possession/Drinking Alcohol/Drug Use
15,01/01/2022 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Inadequate/Failure to Provide Service
16,01/01/2020 12:00:00 AM,Case Final,
5,01/01/2020 12:00:00 AM,Command Channel Review,Conduct Unbecoming Violations
2,01/01/2023 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Parking Complaints
2,01/01/2022 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Improper Processing/Reporting/Procedures
4,01/01/2023 12:00:00 AM,Under District Investigation,Traffic (Not Bribery/Excessive Force) Parking Complaints
12,01/01/2022 12:00:00 AM,Case Final,Crime Misconduct Theft
3,01/01/2021 12:00:00 AM,Administratively Closed,Operation/Personnel Violations EEO Investigations Sexual Harassment
10,01/01/2020 12:00:00 AM,Administratively Closed,"Crime Misconduct Assault/Battery, etc."
7,01/01/2022 12:00:00 AM,Case Final,Operation/Personnel Violations Insubordination
8,01/01/2023 12:00:00 AM,Administratively Closed,Weapon Discharge Taser No Injury With No Hits
1,01/01/2022 12:00:00 AM,Administratively Closed,Excessive Force Weapon Serious Bodily Injury
1,01/01/2019 12:00:00 AM,Administratively Closed,Domestic Incidents
1,01/01/2021 12:00:00 AM,Advocate Review,Verbal Abuse Profanity
1,01/01/2023 12:00:00 AM,Administratively Closed,Sexual Misconduct Sexual Assault Minor
2,01/01/2023 12:00:00 AM,Case Final,Medical Integrity Working while on the Medical/IOD
2,01/01/2021 12:00:00 AM,Case Final,Civil Rights Violation Improper Stop/Seizure Vehicle
20,01/01/2019 12:00:00 AM,Case Final,Operation/Personnel Violations Reports Improper
6,01/01/2023 12:00:00 AM,Case Final,Alcohol/Drug Abuse Intoxicated
1,01/01/2019 12:00:00 AM,Case Final,Crime Misconduct Sexual Misconduct Sexual Abuse Non-Aggravated
3,01/01/2020 12:00:00 AM,Under BIA Investigation,Civil Rights Violation Improper Stop/Seizure Vehicle
1,01/01/2023 12:00:00 AM,Under BIA Investigation,Conduct Unbecoming Violations Association with Felon
25,01/01/2023 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Slow/ No Response
1,01/01/2022 12:00:00 AM,Case Final,Alcohol/Drug Abuse D.U.I Accidental Injury
6,01/01/2022 12:00:00 AM,Command Channel Review,Verbal Abuse Profanity
4,01/01/2021 12:00:00 AM,Under BIA Investigation,"Crime Misconduct Assault/Battery, etc."
2,01/01/2020 12:00:00 AM,Administratively Closed,Civil Rights Violation Improper Search Person Protective Pat Down
1,01/01/2022 12:00:00 AM,Under BIA Investigation,Traffic (Not Bribery/Excessive Force) Misconduct During Issuance of Citation
2,01/01/2023 12:00:00 AM,Administratively Closed,Search Warrants Improper Service of Warrant
45,01/01/2020 12:00:00 AM,Case Final,Operation/Personnel Violations Failure to Identify
1,01/01/2020 12:00:00 AM,Advocate Review,Operation/Personnel Violations Workplace Violence
1,01/01/2019 12:00:00 AM,Administratively Closed,Medical Integrity Working while on the Medical/IOD
3,01/01/2019 12:00:00 AM,Case Final,Operation/Personnel Violations EEO Investigations
6,01/01/2022 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Improper Processing/Reporting/Procedures Citation
2,01/01/2019 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Misuse of Department Equipment/Supplies
4,01/01/2019 12:00:00 AM,Command Channel Review,Arrest/Lockup Incidents Prisoner's Property
1,01/01/2021 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Weapon Expired FOID
1,01/01/2022 12:00:00 AM,Under BIA Investigation,Bribery/Official Corruption Gratuity
1,01/01/2019 12:00:00 AM,Case Final,Domestic Incidents Domestic Incident No Physical Abuse Harassment
1,01/01/2021 12:00:00 AM,Administrative Closure Review,Operation/Personnel Violations Reports FALSE
1,01/01/2023 12:00:00 AM,Administratively Closed,Supervisory Responsibilities Initiate Proper Action
2,01/01/2023 12:00:00 AM,Administratively Closed,Civil Rights Violation Improper Stop/Seizure
2,01/01/2019 12:00:00 AM,Advocate Review,Medical Integrity
1,01/01/2022 12:00:00 AM,Under BIA Investigation,Traffic (Not Bribery/Excessive Force) Preventable Traffic Accident
4,01/01/2023 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Improper Processing/Reporting/Procedures
1,01/01/2021 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Employment Action - Shakman Decree
55,01/01/2022 12:00:00 AM,Administratively Closed,Crime Misconduct Police Impersonator - (Advocate Section use only)
15,01/01/2021 12:00:00 AM,Case Final,Operation/Personnel Violations Inventory Procedures - Non-Arrestee
