fund_type,fund_code,fund_desc,dept_num,dept_desc,approp_auth,approp_auth_desc,approp_acc,approp_acc_desc,ordinance,year,department
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2150,Division of Electrical Operations,0005,Salaries and Wages - on Payroll,3635321.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2150,Division of Electrical Operations,0012,Contract Wage Increment - Prevailing Rate,46536.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2150,Division of Electrical Operations,0015,Schedule Salary Adjustments,5362.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2150,Division of Electrical Operations,0020,Overtime,445743.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2150,Division of Electrical Operations,0130,Postage,165.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2150,Division of Electrical Operations,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,3074000.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2150,Division of Electrical Operations,0149,For Software Maintenance and Licensing,1360400.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2150,Division of Electrical Operations,0157,Rental of Equipment and Services,54442.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2150,Division of Electrical Operations,0159,Lease Purchase Agreements for Equipment and Machinery,39171.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2150,Division of Electrical Operations,0162,Repair/Maintenance of Equipment,18200.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2150,Division of Electrical Operations,0169,Technical Meeting Costs,17805.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2150,Division of Electrical Operations,0229,Transportation and Expense Allowance,252110.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2150,Division of Electrical Operations,0319,Clothing,11730.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2150,Division of Electrical Operations,0350,Stationery and Office Supplies,9500.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2150,Division of Electrical Operations,0440,Machinery and Equipment,3250.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2150,Division of Electrical Operations,0446,"For the Purchase of Data Processing, Office Automation and Data Communication Hardware",31781.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2150,Division of Electrical Operations,9438,"For Services Provided by the Department of Assets, Information, and Services",10000.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0005,Salaries and Wages - on Payroll,4026031.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0015,Schedule Salary Adjustments,16889.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0020,Overtime,105000.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,12000.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0149,For Software Maintenance and Licensing,8775.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0157,Rental of Equipment and Services,93528.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0159,Lease Purchase Agreements for Equipment and Machinery,4488.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0160,Repair or Maintenance of Property,8800.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0169,Technical Meeting Costs,15000.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0185,Waste Disposal Services,40365.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0313,Cleaning and Sanitation Supplies,2000.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0316,Gas - Bottled and Propane,16000.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0319,Clothing,5400.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0340,Material and Supplies,52900.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0350,Stationery and Office Supplies,2000.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0440,Machinery and Equipment,6500.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0446,"For the Purchase of Data Processing, Office Automation and Data Communication Hardware",26520.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,9438,"For Services Provided by the Department of Assets, Information, and Services",10000.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2160,Citywide Services,0005,Salaries and Wages - on Payroll,1183820.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2160,Citywide Services,0015,Schedule Salary Adjustments,9021.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2160,Citywide Services,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,1389125.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2160,Citywide Services,0149,For Software Maintenance and Licensing,1180.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2160,Citywide Services,0166,"Dues, Subscriptions and Memberships",1590.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2160,Citywide Services,0350,Stationery and Office Supplies,200.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2160,Citywide Services,0446,"For the Purchase of Data Processing, Office Automation and Data Communication Hardware",7714.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2160,Citywide Services,9142,Returning Citizens Initiatives,250000.0,2023,Chicago Department of Transportation
LOCAL,0100,Corporate Fund,84,Chicago Department of Transportation,2160,Citywide Services,9438,"For Services Provided by the Department of Assets, Information, and Services",6000.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2125,Division of Engineering,0005,Salaries and Wages - on Payroll,6599967.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2125,Division of Engineering,0015,Schedule Salary Adjustments,11305.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2125,Division of Engineering,0020,Overtime,40894.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2125,Division of Engineering,0144,Engineering and Architecture,900000.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2125,Division of Engineering,0149,For Software Maintenance and Licensing,150000.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2125,Division of Engineering,0150,Publications and Reproduction - Outside Services.  To Be Expended with the Prior Approval of Graphics Services,300.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2125,Division of Engineering,0152,Advertising,750.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2125,Division of Engineering,0159,Lease Purchase Agreements for Equipment and Machinery,30013.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2125,Division of Engineering,0166,"Dues, Subscriptions and Memberships",9000.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2125,Division of Engineering,0169,Technical Meeting Costs,12500.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2125,Division of Engineering,0229,Transportation and Expense Allowance,4323.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2125,Division of Engineering,0245,Reimbursement to Travelers,8500.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2125,Division of Engineering,0340,Material and Supplies,6000.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2125,Division of Engineering,0350,Stationery and Office Supplies,11000.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2125,Division of Engineering,0446,"For the Purchase of Data Processing, Office Automation and Data Communication Hardware",87302.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2135,Division of Infrastructure Management,0005,Salaries and Wages - on Payroll,6092108.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2135,Division of Infrastructure Management,0015,Schedule Salary Adjustments,67552.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2135,Division of Infrastructure Management,0020,Overtime,76882.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2135,Division of Infrastructure Management,0126,Office Conveniences,300.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2135,Division of Infrastructure Management,0130,Postage,33500.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2135,Division of Infrastructure Management,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,7100177.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2135,Division of Infrastructure Management,0149,For Software Maintenance and Licensing,472500.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2135,Division of Infrastructure Management,0150,Publications and Reproduction - Outside Services.  To Be Expended with the Prior Approval of Graphics Services,900.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2135,Division of Infrastructure Management,0152,Advertising,912000.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2135,Division of Infrastructure Management,0157,Rental of Equipment and Services,7545.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2135,Division of Infrastructure Management,0159,Lease Purchase Agreements for Equipment and Machinery,24201.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2135,Division of Infrastructure Management,0160,Repair or Maintenance of Property,2600.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2135,Division of Infrastructure Management,0162,Repair/Maintenance of Equipment,2500.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2135,Division of Infrastructure Management,0166,"Dues, Subscriptions and Memberships",1900.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2135,Division of Infrastructure Management,0229,Transportation and Expense Allowance,120000.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2135,Division of Infrastructure Management,0245,Reimbursement to Travelers,26500.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2135,Division of Infrastructure Management,0313,Cleaning and Sanitation Supplies,3600.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2135,Division of Infrastructure Management,0319,Clothing,16000.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2135,Division of Infrastructure Management,0340,Material and Supplies,14500.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2135,Division of Infrastructure Management,0348,Books and Related Material,1050.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2135,Division of Infrastructure Management,0350,Stationery and Office Supplies,11000.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2135,Division of Infrastructure Management,0446,"For the Purchase of Data Processing, Office Automation and Data Communication Hardware",51430.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2135,Division of Infrastructure Management,9438,"For Services Provided by the Department of Assets, Information, and Services",4000.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0005,Salaries and Wages - on Payroll,50365822.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0012,Contract Wage Increment - Prevailing Rate,553707.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0015,Schedule Salary Adjustments,4125.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0020,Overtime,1330654.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,28000.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0157,Rental of Equipment and Services,240879.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0159,Lease Purchase Agreements for Equipment and Machinery,12920.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0160,Repair or Maintenance of Property,14000.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0185,Waste Disposal Services,98700.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0229,Transportation and Expense Allowance,7600.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0319,Clothing,17000.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0345,Apparatus and Instruments,10000.0,2023,Chicago Department of Transportation
LOCAL,0300,Vehicle Tax Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0350,Stationery and Office Supplies,9250.0,2023,Chicago Department of Transportation
LOCAL,0310,Motor Fuel Tax Fund,84,Chicago Department of Transportation,2140,Division of Sign Management,0005,Salaries and Wages - on Payroll,3565308.0,2023,Chicago Department of Transportation
LOCAL,0310,Motor Fuel Tax Fund,84,Chicago Department of Transportation,2140,Division of Sign Management,0012,Contract Wage Increment - Prevailing Rate,7418.0,2023,Chicago Department of Transportation
LOCAL,0310,Motor Fuel Tax Fund,84,Chicago Department of Transportation,2140,Division of Sign Management,0015,Schedule Salary Adjustments,4151.0,2023,Chicago Department of Transportation
LOCAL,0310,Motor Fuel Tax Fund,84,Chicago Department of Transportation,2140,Division of Sign Management,0020,Overtime,42462.0,2023,Chicago Department of Transportation
LOCAL,0310,Motor Fuel Tax Fund,84,Chicago Department of Transportation,2140,Division of Sign Management,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,2800000.0,2023,Chicago Department of Transportation
LOCAL,0310,Motor Fuel Tax Fund,84,Chicago Department of Transportation,2140,Division of Sign Management,0229,Transportation and Expense Allowance,19200.0,2023,Chicago Department of Transportation
LOCAL,0310,Motor Fuel Tax Fund,84,Chicago Department of Transportation,2140,Division of Sign Management,0340,Material and Supplies,1801038.0,2023,Chicago Department of Transportation
LOCAL,0310,Motor Fuel Tax Fund,84,Chicago Department of Transportation,2145,Division of Project Development,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,1200000.0,2023,Chicago Department of Transportation
LOCAL,0310,Motor Fuel Tax Fund,84,Chicago Department of Transportation,2150,Division of Electrical Operations,0005,Salaries and Wages - on Payroll,25393029.0,2023,Chicago Department of Transportation
LOCAL,0310,Motor Fuel Tax Fund,84,Chicago Department of Transportation,2150,Division of Electrical Operations,0012,Contract Wage Increment - Prevailing Rate,377524.0,2023,Chicago Department of Transportation
LOCAL,0310,Motor Fuel Tax Fund,84,Chicago Department of Transportation,2150,Division of Electrical Operations,0020,Overtime,1935058.0,2023,Chicago Department of Transportation
LOCAL,0310,Motor Fuel Tax Fund,84,Chicago Department of Transportation,2150,Division of Electrical Operations,0157,Rental of Equipment and Services,845449.0,2023,Chicago Department of Transportation
LOCAL,0310,Motor Fuel Tax Fund,84,Chicago Department of Transportation,2150,Division of Electrical Operations,0340,Material and Supplies,3885760.0,2023,Chicago Department of Transportation
LOCAL,0310,Motor Fuel Tax Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0005,Salaries and Wages - on Payroll,26024924.0,2023,Chicago Department of Transportation
LOCAL,0310,Motor Fuel Tax Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0012,Contract Wage Increment - Prevailing Rate,217740.0,2023,Chicago Department of Transportation
LOCAL,0310,Motor Fuel Tax Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0015,Schedule Salary Adjustments,4182.0,2023,Chicago Department of Transportation
LOCAL,0310,Motor Fuel Tax Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0020,Overtime,2125286.0,2023,Chicago Department of Transportation
LOCAL,0310,Motor Fuel Tax Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,1088000.0,2023,Chicago Department of Transportation
LOCAL,0310,Motor Fuel Tax Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0157,Rental of Equipment and Services,2928275.0,2023,Chicago Department of Transportation
LOCAL,0310,Motor Fuel Tax Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0160,Repair or Maintenance of Property,28000.0,2023,Chicago Department of Transportation
LOCAL,0310,Motor Fuel Tax Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0162,Repair/Maintenance of Equipment,29000.0,2023,Chicago Department of Transportation
LOCAL,0310,Motor Fuel Tax Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0340,Material and Supplies,6626700.0,2023,Chicago Department of Transportation
LOCAL,0310,Motor Fuel Tax Fund,84,Chicago Department of Transportation,2155,Division of In-House Construction,0365,Electrical Supplies,20930.0,2023,Chicago Department of Transportation
LOCAL,0310,Motor Fuel Tax Fund,84,Chicago Department of Transportation,2160,Citywide Services,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,7358953.0,2023,Chicago Department of Transportation
LOCAL,0B21,Tax Increment Financing Administration Fund,84,Chicago Department of Transportation,2115,Division of Administration,0005,Salaries and Wages - on Payroll,196944.0,2023,Chicago Department of Transportation
LOCAL,0B21,Tax Increment Financing Administration Fund,84,Chicago Department of Transportation,2115,Division of Administration,0015,Schedule Salary Adjustments,918.0,2023,Chicago Department of Transportation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0005,Salaries and Wages - on Payroll,24674400.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0012,Contract Wage Increment - Prevailing Rate,168244.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0015,Schedule Salary Adjustments,121884.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0020,Overtime,1200000.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0039,For the Employment of Students as Trainees,10000.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0049,Claims and Costs of Administration Pursuant to the Workers' Compensation Act,1134092.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0091,Uniform Allowance,39000.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0130,Postage,200.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0138,For Professional Services for Information Technology Maintenance,6195200.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,25049400.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0141,Appraisals,30000.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0142,Accounting and Auditing,258600.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0144,Engineering and Architecture,40000.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0148,Testing and Inspecting,12500.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0149,For Software Maintenance and Licensing,241600.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0152,Advertising,66000.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0157,Rental of Equipment and Services,13123100.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0160,Repair or Maintenance of Property,1564200.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0161,"Operation, Repair or Maintenance of Facilities",26277100.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0162,Repair/Maintenance of Equipment,21573700.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0163,Repair/Maintenance of Streets and Pavements,4455000.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0166,"Dues, Subscriptions and Memberships",52100.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0168,Educational Development through Cooperative Education Program and Apprenticeship Program,292100.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0169,Technical Meeting Costs,56700.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0181,Mobile Communication Services,48300.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0183,Water,1550000.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0185,Waste Disposal Services,515000.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0189,Telephone - Non-Centrex Billings,60300.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0190,Telephone - Centrex Billings,386000.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0191,Telephone - Relocations of Phone Lines,5000.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0197,Telephone - Maintenance and Repair of Equipment and Voicemail,8000.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0229,Transportation and Expense Allowance,100.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0245,Reimbursement to Travelers,12200.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0270,Local Transportation,100.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0313,Cleaning and Sanitation Supplies,129000.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0319,Clothing,73000.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0340,Material and Supplies,2999800.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0345,Apparatus and Instruments,2000.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0350,Stationery and Office Supplies,20000.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0360,Repair Parts and Material,63500.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0361,Building Materials and Supplies,4500.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0362,Paints and Painting Supplies,20000.0,2023,Chicago Department of Aviation
